TimeV_S	AmplitudeV_S	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R
0.000174	0.00228243	0.000174	0.122423	0.000174	-0.0743756
0.000176	0.00131615	0.000176	-0.0392675	0.000176	-0.0801733
0.000178	-0.000294312	0.000178	-0.19355	0.000178	-0.0846826
0.00018	0.000994059	0.00018	-0.337847	0.00018	-0.0853268
0.000182	0.00163824	0.000182	-0.463463	0.000182	-0.0821058
0.000184	-0.000294312	0.000184	-0.568465	0.000184	-0.0759861
0.000186	-0.000616404	0.000186	-0.649955	0.000186	-0.0689
0.000188	-0.000294312	0.000188	-0.705354	0.000188	-0.0585931
0.00019	0.000994059	0.00019	-0.734987	0.00019	-0.047964
0.000192	-0.00190477	0.000192	-0.734343	0.000192	-0.0321815
0.000194	-0.000938497	0.000194	-0.707609	0.000194	-0.0189757
0.000196	-0.000294312	0.000196	-0.65543	0.000196	-0.00351524
0.000198	-0.000938497	0.000198	-0.581993	0.000198	0.0100127
0.0002	-0.00222687	0.0002	-0.490197	0.0002	0.0212859
0.000202	-0.00158268	0.000202	-0.381974	0.000202	0.0351359
0.000204	2.78E-05	0.000204	-0.26441	0.000204	0.0454429
0.000206	-0.00190477	0.000206	-0.141371	0.000206	0.0518847
0.000208	-0.00254896	0.000208	-0.0163989	0.000208	0.0592928
0.00021	-0.000294312	0.00021	0.104708	0.00021	0.0621917
0.000212	-0.000294312	0.000212	0.218729	0.000212	0.06348
0.000214	-0.00158268	0.000214	0.320188	0.000214	0.0628359
0.000216	-0.00158268	0.000216	0.406187	0.000216	0.0586487
0.000218	0.000671966	0.000218	0.476081	0.000218	0.0538173
0.00022	-0.000294312	0.00022	0.525684	0.00022	0.0451208
0.000222	-0.00158268	0.000222	0.553062	0.000222	0.0357801
0.000224	0.000671966	0.000224	0.559503	0.000224	0.0270836
0.000226	0.000994059	0.000226	0.544365	0.000226	0.0154882
0.000228	-0.000294312	0.000228	0.509579	0.000228	0.00421499
0.00023	-0.000616404	0.00023	0.456111	0.00023	-0.00673617
0.000232	0.00131615	0.000232	0.387506	0.000232	-0.0173652
0.000234	0.000671966	0.000234	0.306338	0.000234	-0.0263838
0.000236	-0.000616404	0.000236	0.218407	0.000236	-0.0347582
0.000238	0.000671966	0.000238	0.122101	0.000238	-0.0415222
0.00024	0.00163824	0.00024	0.0270836	0.00024	-0.0466757
0.000242	0.000994059	0.000242	-0.0682559	0.000242	-0.0492524
0.000244	-0.000938497	0.000244	-0.156187	0.000244	-0.0505408
0.000246	0.00131615	0.000246	-0.23671	0.000246	-0.0502187
0.000248	0.000349874	0.000248	-0.305316	0.000248	-0.047964
0.00025	-0.000294312	0.00025	-0.360394	0.00025	-0.0431326
0.000252	-0.000938497	0.000252	-0.400333	0.000252	-0.0366908
0.000254	0.000349874	0.000254	-0.423524	0.000254	-0.0299268
0.000256	0.000671966	0.000256	-0.430932	0.000256	-0.0231629
0.000258	-0.00190477	0.000258	-0.421591	0.000258	-0.0138222
0.00026	2.78E-05	0.00026	-0.394858	0.00026	-0.0051257
0.000262	0.000349874	0.000262	-0.35524	0.000262	0.00389289
0.000264	-0.00126059	0.000264	-0.302739	0.000264	0.0109789
0.000266	-0.00254896	0.000266	-0.240253	0.000266	0.0187092
0.000268	-0.000938497	0.000268	-0.172614	0.000268	0.0245068
0.00027	0.000994059	0.00027	-0.0991767	0.00027	0.0309487
0.000272	-0.00222687	0.000272	-0.023485	0.000272	0.0351359
0.000274	-0.00126059	0.000274	0.049308	0.000274	0.0367463
0.000276	2.78E-05	0.000276	0.117914	0.000276	0.0377126
0.000278	-0.000616404	0.000278	0.181044	0.000278	0.0370684
0.00028	-0.00158268	0.00028	0.233867	0.00028	0.0351359
0.000282	-0.000938497	0.000282	0.276706	0.000282	0.0312708
0.000284	0.00163824	0.000284	0.307304	0.000284	0.0274057
0.000286	-0.000938497	0.000286	0.325342	0.000286	0.0219301
0.000288	-0.000938497	0.000288	0.329851	0.000288	0.0154882
0.00029	0.00131615	0.00029	0.322765	0.00029	0.00969056
0.000292	0.000671966	0.000292	0.301829	0.000292	0.00196034
0.000294	-0.000938497	0.000294	0.269619	0.000294	-0.00448152
0.000296	-0.000294312	0.000296	0.228714	0.000296	-0.0109234
0.000298	0.00163824	0.000298	0.179433	0.000298	-0.0170431
0.0003	2.78E-05	0.0003	0.126288	0.0003	-0.0218745
0.000302	-0.00158268	0.000302	0.0686335	0.000302	-0.0257396
0.000304	0.00131615	0.000304	0.0103347	0.000304	-0.0286385
0.000306	0.000671966	0.000306	-0.0463536	0.000306	-0.0299268
0.000308	-0.00126059	0.000308	-0.0991767	0.000308	-0.0308931
0.00031	-0.000294312	0.00031	-0.147169	0.00031	-0.0302489
0.000312	0.00131615	0.000312	-0.188396	0.000312	-0.0286385
0.000314	0.000671966	0.000314	-0.219961	0.000314	-0.0260617
0.000316	-0.00190477	0.000316	-0.24283	0.000316	-0.0218745
0.000318	0.000349874	0.000318	-0.254747	0.000318	-0.0176873
0.00032	0.000994059	0.00032	-0.258613	0.00032	-0.013178
0.000322	-0.00126059	0.000322	-0.249594	0.000322	-0.00770244
0.000324	-0.00190477	0.000324	-0.232201	0.000324	-0.00254896
0.000326	2.78E-05	0.000326	-0.205789	0.000326	0.00324871
0.000328	0.000349874	0.000328	-0.173258	0.000328	0.00775801
0.00033	-0.00158268	0.00033	-0.134285	0.00033	0.0119452
0.000332	-0.000938497	0.000332	-0.0917686	0.000332	0.0164545
0.000334	0.000349874	0.000334	-0.0469977	0.000334	0.0193533
0.000336	-0.00126059	0.000336	-0.00158268	0.000336	0.021608
0.000338	-0.00222687	0.000338	0.0418998	0.000338	0.021608
0.00034	-0.000616404	0.00034	0.0834498	0.00034	0.0219301
0.000342	0.000671966	0.000342	0.119524	0.000342	0.0219301
0.000344	-0.00158268	0.000344	0.150123	0.000344	0.0206417
0.000346	-0.00126059	0.000346	0.173636	0.000346	0.0177429
0.000348	0.000349874	0.000348	0.18974	0.000348	0.014522
0.00035	0.000671966	0.00035	0.197149	0.00035	0.0119452
0.000352	-0.00126059	0.000352	0.197149	0.000352	0.00775801
0.000354	-0.00158268	0.000354	0.189418	0.000354	0.00292662
0.000356	0.00131615	0.000356	0.173314	0.000356	-0.000616404
0.000358	-0.000938497	0.000358	0.1527	0.000358	-0.00480361
0.00036	-0.000938497	0.00036	0.125644	0.00036	-0.00866872
0.000362	0.000994059	0.000362	0.0940789	0.000362	-0.0125338
0.000364	0.000671966	0.000364	0.0602591	0.000364	-0.0147885
0.000366	-0.000294312	0.000366	0.025151	0.000366	-0.0173652
0.000368	-0.000938497	0.000368	-0.00995709	0.000368	-0.0183315
0.00037	0.00163824	0.00037	-0.0437768	0.00037	-0.0192978
0.000372	2.78E-05	0.000372	-0.0746977	0.000372	-0.0180094
0.000374	-0.00126059	0.000374	-0.102398	0.000374	-0.0183315
0.000376	2.78E-05	0.000376	-0.1243	0.000376	-0.0163989
0.000378	0.000349874	0.000378	-0.140727	0.000378	-0.0151106
0.00038	2.78E-05	0.00038	-0.152322	0.00038	-0.0122117
0.000382	-0.00190477	0.000382	-0.156509	0.000382	-0.009635
0.000384	2.78E-05	0.000384	-0.154255	0.000384	-0.00641407
0.000386	-0.000294312	0.000386	-0.146846	0.000386	-0.00351524
0.000388	-0.00158268	0.000388	-0.133319	0.000388	0.000994059
0.00039	-0.000294312	0.00039	-0.114637	0.00039	0.0035708
0.000392	0.000994059	0.000392	-0.0927349	0.000392	0.00614754
0.000394	2.78E-05	0.000394	-0.0669675	0.000394	0.00840219
0.000396	-0.00222687	0.000396	-0.0399117	0.000396	0.0106568
0.000398	-0.000294312	0.000398	-0.0125338	0.000398	0.0122673
0.0004	0.000671966	0.0004	0.014522	0.0004	0.0129115
0.000402	-0.00126059	0.000402	0.0412556	0.000402	0.0135557
0.000404	-0.000938497	0.000404	0.0638021	0.000404	0.0132336
0.000406	0.000349874	0.000406	0.0847382	0.000406	0.0122673
0.000408	0.000994059	0.000408	0.100521	0.000408	0.0109789
0.00041	-0.00158268	0.00041	0.112116	0.00041	0.00904638
0.000412	-0.000938497	0.000412	0.11888	0.000412	0.00711382
0.000414	0.000671966	0.000414	0.120813	0.000414	0.00485917
0.000416	-0.000616404	0.000416	0.11727	0.000416	0.00228243
0.000418	-0.000938497	0.000418	0.110506	0.000418	2.78E-05
0.00042	2.78E-05	0.00042	0.097944	0.00042	-0.00287105
0.000422	0.00163824	0.000422	0.0818393	0.000422	-0.00480361
0.000424	-0.000938497	0.000424	0.06348	0.000424	-0.00705826
0.000426	-0.000938497	0.000426	0.0431882	0.000426	-0.00931291
0.000428	0.000671966	0.000428	0.0209638	0.000428	-0.0109234
0.00043	0.000671966	0.00043	-0.000616404	0.00043	-0.0106013
0.000432	-0.000616404	0.000432	-0.0205861	0.000432	-0.0112455
0.000434	-0.000294312	0.000434	-0.040878	0.000434	-0.0118896
0.000436	0.00196034	0.000436	-0.0585931	0.000436	-0.0109234
0.000438	-0.000294312	0.000438	-0.0730872	0.000438	-0.0109234
0.00044	-0.000616404	0.00044	-0.0850047	0.00044	-0.00995709
0.000442	0.000994059	0.000442	-0.0927349	0.000442	-0.00802454
0.000444	-0.000294312	0.000444	-0.0959558	0.000444	-0.00641407
0.000446	-0.00158268	0.000446	-0.0962779	0.000446	-0.00480361
