TimeV_S	AmplitudeV_S	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R
0.000178	-0.164884	0.000178	0.143681	0.000178	0.0035708
0.00018	-0.152	0.00018	0.141104	0.00018	-0.000938497
0.000182	-0.142981	0.000182	0.136917	0.000182	-0.00770244
0.000184	-0.133319	0.000184	0.132408	0.000184	-0.0125338
0.000186	-0.118502	0.000186	0.126932	0.000186	-0.0192978
0.000188	-0.105619	0.000188	0.12049	0.000188	-0.0209082
0.00019	-0.0978884	0.00019	0.113082	0.00019	-0.0250954
0.000192	-0.0856489	0.000192	0.105674	0.000192	-0.0286385
0.000194	-0.0695442	0.000194	0.097944	0.000194	-0.0321815
0.000196	-0.0592373	0.000196	0.0892475	0.000196	-0.0344361
0.000198	-0.0511849	0.000198	0.0808731	0.000198	-0.0357245
0.0002	-0.0354024	0.0002	0.0721766	0.0002	-0.0366908
0.000202	-0.023485	0.000202	0.063158	0.000202	-0.0395896
0.000204	-0.0180094	0.000204	0.0544614	0.000204	-0.0399117
0.000206	-0.00641407	0.000206	0.0457649	0.000206	-0.0389454
0.000208	0.00582545	0.000208	0.0357801	0.000208	-0.0392675
0.00021	0.0158103	0.00021	0.0274057	0.00021	-0.0395896
0.000212	0.018065	0.000212	0.0190312	0.000212	-0.0379792
0.000214	0.0280498	0.000214	0.011301	0.000214	-0.0383012
0.000216	0.0373905	0.000216	0.00324871	0.000216	-0.0360466
0.000218	0.0393231	0.000218	-0.00415942	0.000218	-0.0350803
0.00022	0.0444766	0.00022	-0.0106013	0.00022	-0.0318594
0.000222	0.0551056	0.000222	-0.0170431	0.000222	-0.030571
0.000224	0.0573603	0.000224	-0.0225187	0.000224	-0.0279943
0.000226	0.0576824	0.000226	-0.0276722	0.000226	-0.0263838
0.000228	0.0583266	0.000228	-0.0328257	0.000228	-0.0221966
0.00023	0.066701	0.00023	-0.0366908	0.00023	-0.0225187
0.000232	0.0644463	0.000232	-0.0405559	0.000232	-0.0192978
0.000234	0.063158	0.000234	-0.0437768	0.000234	-0.0151106
0.000236	0.0647684	0.000236	-0.0460315	0.000236	-0.0135001
0.000238	0.0657347	0.000238	-0.047964	0.000238	-0.0112455
0.00024	0.0628359	0.00024	-0.0498966	0.00024	-0.00899081
0.000242	0.0592928	0.000242	-0.0508629	0.000242	-0.00673617
0.000244	0.0602591	0.000244	-0.0511849	0.000244	-0.00351524
0.000246	0.0583266	0.000246	-0.051507	0.000246	-0.00126059
0.000248	0.0534952	0.000248	-0.0511849	0.000248	0.000994059
0.00025	0.0476975	0.00025	-0.0505408	0.00025	0.00260452
0.000252	0.0502742	0.000252	-0.0495745	0.000252	0.00421499
0.000254	0.0435103	0.000254	-0.0482861	0.000254	0.0080801
0.000256	0.039001	0.000256	-0.0463536	0.000256	0.00743591
0.000258	0.0383568	0.000258	-0.0447431	0.000258	0.00904638
0.00026	0.0335254	0.00026	-0.0424884	0.00026	0.0100127
0.000262	0.0296603	0.000262	-0.0399117	0.000262	0.011301
0.000264	0.0222522	0.000264	-0.0376571	0.000264	0.0129115
0.000266	0.0238626	0.000266	-0.0350803	0.000266	0.0135557
0.000268	0.014844	0.000268	-0.0321815	0.000268	0.0141999
0.00027	0.00904638	0.00027	-0.0299268	0.00027	0.0151661
0.000272	0.00840219	0.000272	-0.027028	0.000272	0.0154882
0.000274	0.00711382	0.000274	-0.023485	0.000274	0.0154882
0.000276	0.00260452	0.000276	-0.0202641	0.000276	0.0158103
0.000278	-0.00383733	0.000278	-0.0170431	0.000278	0.0167766
0.00028	-0.00287105	0.00028	-0.0144664	0.00028	0.0164545
0.000282	-0.00576989	0.000282	-0.0112455	0.000282	0.0154882
0.000284	-0.013178	0.000284	-0.00899081	0.000284	0.0167766
0.000286	-0.0109234	0.000286	-0.00609198	0.000286	0.014844
0.000288	-0.0128559	0.000288	-0.00383733	0.000288	0.014522
0.00029	-0.0144664	0.00029	-0.000938497	0.00029	0.014844
0.000292	-0.0209082	0.000292	0.000349874	0.000292	0.0135557
0.000294	-0.0183315	0.000294	0.00260452	0.000294	0.0116231
0.000296	-0.0202641	0.000296	0.00421499	0.000296	0.0109789
0.000298	-0.0231629	0.000298	0.00614754	0.000298	0.0106568
0.0003	-0.0238071	0.0003	0.00775801	0.0003	0.00969056
0.000302	-0.0215524	0.000302	0.00872428	0.000302	0.00872428
0.000304	-0.0189757	0.000304	0.0103347	0.000304	0.00775801
0.000306	-0.0267059	0.000306	0.0109789	0.000306	0.00711382
0.000308	-0.0254175	0.000308	0.0116231	0.000308	0.0080801
0.00031	-0.0192978	0.00031	0.0125894	0.00031	0.00614754
