TimeV_S	AmplitudeV_S	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R									
9.60E-05	-1.3402	9.60E-05	1.24138	9.60E-05	0.00260452			9.60E-05	1.24138	1.36E-02
9.80E-05	-1.16272	9.80E-05	1.10288	9.80E-05	-0.0231629			9.80E-05	1.10288	1.36E-02
1.00E-04	-0.954653	1.00E-04	0.936675	1.00E-04	-0.0460315			1.00E-04	0.936675	1.36E-02
0.000102	-0.729833	0.000102	0.743097	0.000102	-0.0672896			0.000102	0.743097	1.36E-02
0.000104	-0.490197	0.000104	0.536957	0.000104	-0.0830721			0.000104	0.536957	1.36E-02
0.000106	-0.240253	0.000106	0.321154	0.000106	-0.0969221			0.000106	0.321154	1.36E-02
0.000108	0.00131615	0.000108	0.102775	0.000108	-0.106263			0.000108	0.102775	1.36E-02
0.00011	0.227747	0.00011	-0.107873	0.00011	-0.111416			0.00011	-0.107873	1.36E-02
0.000112	0.440007	0.000112	-0.30596	0.000112	-0.114315			0.000112	-0.30596	1.36E-02
0.000114	0.634873	0.000114	-0.483755	0.000114	-0.111094			0.000114	-0.483755	1.36E-02
0.000116	0.787868	0.000116	-0.632884	0.000116	-0.105619			0.000116	-0.632884	1.36E-02
0.000118	0.908009	0.000118	-0.757211	0.000118	-0.0969221			0.000118	-0.757211	1.36E-02
0.00012	0.993042	0.00012	-0.847397	0.00012	-0.0843605			0.00012	-0.847397	1.36E-02
0.000122	1.04297	0.000122	-0.900864	0.000122	-0.0679338			0.000122	-0.900864	1.36E-02
0.000124	1.04683	0.000124	-0.922766	0.000124	-0.0534396			0.000124	-0.922766	1.36E-02
0.000126	1.01108	0.000126	-0.914392	0.000126	-0.0354024			0.000126	-0.914392	1.36E-02
0.000128	0.950525	0.000128	-0.871876	0.000128	-0.0160769			0.000128	-0.871876	1.36E-02
0.00013	0.854863	0.00013	-0.801982	0.00013	0.00163824			0.00013	-0.801982	1.36E-02
0.000132	0.728925	0.000132	-0.702455	0.000132	0.018065			0.000132	-0.702455	1.36E-02
0.000134	0.590424	0.000134	-0.587147	0.000134	0.0315929			0.000134	-0.587147	1.36E-02
0.000136	0.436786	0.000136	-0.457021	0.000136	0.0457649			0.000136	-0.457021	1.36E-02
