TimeV_S	AmplitudeV_S	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R
0.000194	-0.123334	0.000194	0.156565	0.000194	-0.0450652
0.000196	-0.0959558	0.000196	0.14046	0.000196	-0.0492524
0.000198	-0.0763082	0.000198	0.123067	0.000198	-0.0508629
0.0002	-0.0569826	0.0002	0.105674	0.0002	-0.0531175
0.000202	-0.0370129	0.000202	0.0889254	0.000202	-0.0544059
0.000204	-0.0125338	0.000204	0.0712103	0.000204	-0.0563384
0.000206	0.00228243	0.000206	0.0538173	0.000206	-0.0563384
0.000208	0.018065	0.000208	0.0364243	0.000208	-0.0560163
0.00021	0.0409336	0.00021	0.0203196	0.00021	-0.0560163
0.000212	0.0573603	0.000212	0.00453708	0.000212	-0.0550501
0.000214	0.0673452	0.000214	-0.0106013	0.000214	-0.0527954
0.000216	0.0795847	0.000216	-0.0247734	0.000216	-0.0502187
0.000218	0.097944	0.000218	-0.0379792	0.000218	-0.0482861
0.00022	0.105352	0.00022	-0.0505408	0.00022	-0.0460315
0.000222	0.113404	0.000222	-0.0614919	0.000222	-0.0424884
0.000224	0.120168	0.000224	-0.0727652	0.000224	-0.0402338
0.000226	0.13112	0.000226	-0.0814617	0.000226	-0.0376571
0.000228	0.132408	0.000228	-0.089514	0.000228	-0.0331478
0.00023	0.134663	0.00023	-0.0969221	0.00023	-0.0296047
0.000232	0.141749	0.000232	-0.102398	0.000232	-0.0273501
0.000234	0.139816	0.000234	-0.107229	0.000234	-0.0221966
0.000236	0.138528	0.000236	-0.11045	0.000236	-0.0202641
0.000238	0.139494	0.000238	-0.113027	0.000238	-0.0157548
0.00024	0.141104	0.00024	-0.113993	0.00024	-0.0128559
0.000242	0.131442	0.000242	-0.114315	0.000242	-0.00834663
0.000244	0.125322	0.000244	-0.114637	0.000244	-0.00544779
0.000246	0.123389	0.000246	-0.112705	0.000246	-0.00158268
0.000248	0.118236	0.000248	-0.109806	0.000248	0.00163824
0.00025	0.107607	0.00025	-0.106585	0.00025	0.00453708
0.000252	0.100521	0.000252	-0.103364	0.000252	0.00711382
0.000254	0.094723	0.000254	-0.0985326	0.000254	0.011301
0.000256	0.0828056	0.000256	-0.0933791	0.000256	0.011301
0.000258	0.0753975	0.000258	-0.0879035	0.000258	0.0151661
0.00026	0.0654126	0.00026	-0.0817837	0.00026	0.0167766
