TimeV_S	AmplitudeV_S	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R		
0.000174	0.0306266	0.000174	0.161396	0.000174	-0.051507
0.000176	0.0303045	0.000176	0.0415777	0.000176	-0.0560163
0.000178	0.0290161	0.000178	-0.0737314	0.000178	-0.0589152
0.00018	0.0290161	0.00018	-0.182277	0.00018	-0.0595594
0.000182	0.0232185	0.000182	-0.279549	0.000182	-0.058271
0.000184	0.0203196	0.000184	-0.36297	0.000184	-0.054728
0.000186	0.0151661	0.000186	-0.429644	0.000186	-0.0492524
0.000188	0.0103347	0.000188	-0.477635	0.000188	-0.0418443
0.00019	0.00646963	0.00019	-0.507268	0.00019	-0.0347582
0.000192	-0.000616404	0.000192	-0.514998	0.000192	-0.0263838
0.000194	-0.00480361	0.000194	-0.505979	0.000194	-0.0154327
0.000196	-0.0102792	0.000196	-0.478279	0.000196	-0.00576989
0.000198	-0.0144664	0.000198	-0.434153	0.000198	0.0035708
0.0002	-0.0176873	0.0002	-0.375532	0.0002	0.0119452
0.000202	-0.0215524	0.000202	-0.307248	0.000202	0.0190312
0.000204	-0.0231629	0.000204	-0.229946	0.000204	0.0264394
0.000206	-0.0241292	0.000206	-0.147169	0.000206	0.0328812
0.000208	-0.0254175	0.000208	-0.0640687	0.000208	0.0364243
0.00021	-0.0241292	0.00021	0.0187092	0.00021	0.0386789
0.000212	-0.0215524	0.000212	0.097944	0.000212	0.0406115
0.000214	-0.0238071	0.000214	0.169449	0.000214	0.0396452
0.000216	-0.0186536	0.000216	0.231613	0.000216	0.0383568
0.000218	-0.016721	0.000218	0.282825	0.000218	0.0344917
0.00022	-0.0128559	0.00022	0.32051	0.00022	0.0293382
0.000222	-0.009635	0.000222	0.344667	0.000222	0.0238626
0.000224	-0.0051257	0.000224	0.355618	0.000224	0.018065
0.000226	0.000994059	0.000226	0.352397	0.000226	0.0119452
0.000228	0.0035708	0.000228	0.335326	0.000228	0.00389289
0.00023	0.00840219	0.00023	0.307626	0.00023	-0.00287105
0.000232	0.00872428	0.000232	0.268653	0.000232	-0.00866872
0.000234	0.0109789	0.000234	0.221306	0.000234	-0.0141443
0.000236	0.0125894	0.000236	0.167838	0.000236	-0.0196199
0.000238	0.0129115	0.000238	0.109861	0.000238	-0.0244513
0.00024	0.0154882	0.00024	0.0509184	0.00024	-0.0273501
0.000242	0.0125894	0.000242	-0.00802454	0.000242	-0.0292827
0.000244	0.0187092	0.000244	-0.0643907	0.000244	-0.0289606
0.000246	0.0138778	0.000246	-0.115281	0.000246	-0.0292827
0.000248	0.00840219	0.000248	-0.161341	0.000248	-0.0286385
0.00025	0.00775801	0.00025	-0.198703	0.00025	-0.0263838
0.000252	0.00679173	0.000252	-0.227047	0.000252	-0.0231629
0.000254	0.0035708	0.000254	-0.245085	0.000254	-0.0183315
0.000256	0.000349874	0.000256	-0.252815	0.000256	-0.0151106
0.000258	-0.00222687	0.000258	-0.252815	0.000258	-0.0106013
0.00026	-0.00480361	0.00026	-0.241542	0.00026	-0.00480361
0.000262	-0.00802454	0.000262	-0.22286	0.000262	-0.000294312
0.000264	-0.00834663	0.000264	-0.196127	0.000264	0.00421499
0.000266	-0.00995709	0.000266	-0.162951	0.000266	0.00840219
0.000268	-0.0112455	0.000268	-0.124944	0.000268	0.0122673
0.00027	-0.0151106	0.00027	-0.0846826	0.00027	0.0158103
0.000272	-0.0125338	0.000272	-0.0424884	0.000272	0.018065
0.000274	-0.0128559	0.000274	-0.00126059	0.000274	0.0193533
0.000276	-0.013178	0.000276	0.0396452	0.000276	0.0196754
0.000278	-0.013178	0.000278	0.0770079	0.000278	0.0196754
0.00028	-0.00931291	0.00028	0.109217	0.00028	0.0183871
0.000282	-0.0112455	0.000282	0.135307	0.000282	0.0170987
0.000284	-0.00931291	0.000284	0.155599	0.000284	0.014844
0.000286	-0.00544779	0.000286	0.169126	0.000286	0.0119452
0.000288	-0.00383733	0.000288	0.175568	0.000288	0.00872428
0.00029	-0.000294312	0.00029	0.174602	0.00029	0.00550336
0.000292	0.000671966	0.000292	0.167194	0.000292	0.00260452
0.000294	0.00260452	0.000294	0.1527	0.000294	-0.00158268
0.000296	0.00228243	0.000296	0.133696	0.000296	-0.00480361
