TimeV_L	AmplitudeV_L	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R								
0.000178	0.206811	0.000178	-0.158442	0.000178	-0.072121
0.00018	0.330817	0.00018	-0.271496	0.00018	-0.0714768
0.000182	0.436464	0.000182	-0.370379	0.000182	-0.0689
0.000184	0.526328	0.000184	-0.451546	0.000184	-0.0650349
0.000186	0.593001	0.000186	-0.51371	0.000186	-0.0573047
0.000188	0.632619	0.000188	-0.556226	0.000188	-0.0486082
0.00019	0.650334	0.00019	-0.577162	0.00019	-0.0383012
0.000192	0.644858	0.000192	-0.574263	0.000192	-0.0279943
0.000194	0.614903	0.000194	-0.552361	0.000194	-0.0147885
0.000196	0.559826	0.000196	-0.510811	0.000196	-0.00287105
0.000198	0.490898	0.000198	-0.451868	0.000198	0.00904638
0.0002	0.406187	0.0002	-0.378109	0.0002	0.0193533
0.000202	0.30666	0.000202	-0.291466	0.000202	0.0290161
0.000204	0.201336	0.000204	-0.200636	0.000204	0.0373905
0.000206	0.0934347	0.000206	-0.104974	0.000206	0.0431882
0.000208	-0.0135001	0.000208	-0.00770244	0.000208	0.0489859
0.00021	-0.118824	0.00021	0.0847382	0.00021	0.0512405
0.000212	-0.214486	0.000212	0.171059	0.000212	0.0518847
0.000214	-0.297908	0.000214	0.248683	0.000214	0.0505963
0.000216	-0.36909	0.000216	0.31278	0.000216	0.0480196
0.000218	-0.42449	0.000218	0.365925	0.000218	0.0428661
0.00022	-0.460242	0.00022	0.400389	0.00022	0.0364243
0.000222	-0.476991	0.000222	0.420681	0.000222	0.028694
0.000224	-0.478924	0.000224	0.423258	0.000224	0.0203196
0.000226	-0.460886	0.000226	0.40973	0.000226	0.011301
0.000228	-0.42449	0.000228	0.382996	0.000228	0.00228243
0.00023	-0.374244	0.00023	0.342413	0.00023	-0.00673617
0.000232	-0.313046	0.000232	0.287979	0.000232	-0.0144664
0.000234	-0.243152	0.000234	0.227425	0.000234	-0.0215524
0.000236	-0.163595	0.000236	0.159786	0.000236	-0.0279943
0.000238	-0.0830721	0.000238	0.0889254	0.000238	-0.0337919
0.00024	-0.00287105	0.00024	0.0161324	0.00024	-0.0379792
0.000242	0.0766858	0.000242	-0.0540838	0.000242	-0.0395896
0.000244	0.150445	0.000244	-0.119791	0.000244	-0.0402338
0.000246	0.21422	0.000246	-0.178412	0.000246	-0.0395896
0.000248	0.267365	0.000248	-0.228658	0.000248	-0.0370129
0.00025	0.312136	0.00025	-0.269564	0.00025	-0.0334699
0.000252	0.34048	0.000252	-0.297908	0.000252	-0.0296047
0.000254	0.35433	0.000254	-0.313368	0.000254	-0.0241292
0.000256	0.355296	0.000256	-0.317233	0.000256	-0.0176873
0.000258	0.344345	0.000258	-0.309503	0.000258	-0.0109234
0.00026	0.319222	0.00026	-0.288889	0.00026	-0.00351524
0.000262	0.281215	0.000262	-0.25829	0.000262	0.00292662
0.000264	0.237088	0.000264	-0.220284	0.000264	0.00872428
0.000266	0.183943	0.000266	-0.174224	0.000266	0.014522
0.000268	0.124356	0.000268	-0.12269	0.000268	0.0203196
0.00027	0.0641242	0.00027	-0.0698663	0.00027	0.0235405
0.000272	0.00389289	0.000272	-0.0157548	0.000272	0.0267615
0.000274	-0.054728	0.000274	0.0380347	0.000274	0.0283719
0.000276	-0.112383	0.000276	0.0873149	0.000276	0.0280498
0.000278	-0.159408	0.000278	0.131442	0.000278	0.0283719
0.00028	-0.198381	0.00028	0.169771	0.00028	0.0261173
0.000282	-0.232523	0.000282	0.199081	0.000282	0.0238626
0.000284	-0.254747	0.000284	0.220339	0.000284	0.0203196
0.000286	-0.265054	0.000286	0.232579	0.000286	0.0161324
0.000288	-0.264732	0.000288	0.235156	0.000288	0.0116231
0.00029	-0.257002	0.00029	0.229358	0.00029	0.00646963
0.000292	-0.237999	0.000292	0.213575	0.000292	0.00163824
0.000294	-0.208688	0.000294	0.190063	0.000294	-0.00448152
0.000296	-0.174224	0.000296	0.16043	0.000296	-0.00866872
0.000298	-0.135895	0.000298	0.126288	0.000298	-0.0128559
0.0003	-0.0908023	0.0003	0.0886033	0.0003	-0.0163989
0.000302	-0.0428105	0.000302	0.0476975	0.000302	-0.0192978
0.000304	0.000671966	0.000304	0.00646963	0.000304	-0.0221966
0.000306	0.0444766	0.000306	-0.0337919	0.000306	-0.0225187
0.000308	0.0873149	0.000308	-0.0708326	0.000308	-0.0228408
0.00031	0.124033	0.00031	-0.10433	0.00031	-0.0225187
0.000312	0.152378	0.000312	-0.131708	0.000312	-0.0209082
0.000314	0.175568	0.000314	-0.154255	0.000314	-0.0186536
0.000316	0.193283	0.000316	-0.168749	0.000316	-0.0160769
0.000318	0.200692	0.000318	-0.176479	0.000318	-0.0122117
0.00032	0.199081	0.00032	-0.178412	0.00032	-0.009635
0.000322	0.191995	0.000322	-0.172614	0.000322	-0.00544779
0.000324	0.177179	0.000324	-0.160374	0.000324	-0.00126059
0.000326	0.153666	0.000326	-0.142981	0.000326	0.00196034
0.000328	0.12661	0.000328	-0.120113	0.000328	0.00582545
0.00033	0.097944	0.00033	-0.0927349	0.00033	0.00872428
0.000332	0.06348	0.000332	-0.0637466	0.000332	0.0116231
0.000334	0.0274057	0.000334	-0.0325036	0.000334	0.0138778
0.000336	-0.00609198	0.000336	-0.00190477	0.000336	0.0151661
0.000338	-0.037335	0.000338	0.0274057	0.000338	0.0161324
0.00034	-0.0701884	0.00034	0.0551056	0.00034	0.0158103
0.000342	-0.0972442	0.000342	0.0802289	0.000342	0.0154882
0.000344	-0.118824	0.000344	0.100843	0.000344	0.0138778
0.000346	-0.134285	0.000346	0.116303	0.000346	0.0122673
0.000348	-0.147491	0.000348	0.126932	0.000348	0.0103347
0.00035	-0.151356	0.00035	0.13273	0.00035	0.0080801
0.000352	-0.148457	0.000352	0.132086	0.000352	0.00518126
0.000354	-0.142337	0.000354	0.126932	0.000354	0.00228243
0.000356	-0.130742	0.000356	0.116947	0.000356	-0.00126059
0.000358	-0.113671	0.000358	0.102453	0.000358	-0.00383733
0.00036	-0.0901582	0.00036	0.084094	0.00036	-0.00641407
0.000362	-0.068578	0.000362	0.063158	0.000362	-0.00899081
0.000364	-0.0431326	0.000364	0.0409336	0.000364	-0.0102792
0.000366	-0.0147885	0.000366	0.018065	0.000366	-0.0122117
0.000368	0.011301	0.000368	-0.00609198	0.000368	-0.0128559
0.00037	0.0351359	0.00037	-0.0286385	0.00037	-0.0138222
0.000372	0.0567161	0.000372	-0.0482861	0.000372	-0.013178
0.000374	0.0789405	0.000374	-0.0666454	0.000374	-0.0128559
0.000376	0.0934347	0.000376	-0.0814617	0.000376	-0.0118896
0.000378	0.104064	0.000378	-0.0924128	0.000378	-0.0102792
0.00038	0.11276	0.00038	-0.0994988	0.00038	-0.00899081
0.000382	0.115659	0.000382	-0.102076	0.000382	-0.00673617
0.000384	0.111794	0.000384	-0.101753	0.000384	-0.00448152
0.000386	0.104386	0.000386	-0.0969221	0.000386	-0.00254896
0.000388	0.0966556	0.000388	-0.0885477	0.000388	-0.000294312
0.00039	0.0818393	0.00039	-0.0759861	0.00039	0.00196034
0.000392	0.06348	0.000392	-0.0627803	0.000392	0.00421499
0.000394	0.046087	0.000394	-0.0457094	0.000394	0.00550336
0.000396	0.0280498	0.000396	-0.0286385	0.000396	0.00646963
0.000398	0.00743591	0.000398	-0.0109234	0.000398	0.00872428
0.0004	-0.0144664	0.0004	0.00679173	0.0004	0.00840219
0.000402	-0.0312152	0.000402	0.0238626	0.000402	0.00840219
0.000404	-0.0473198	0.000404	0.039001	0.000404	0.00840219
0.000406	-0.0627803	0.000406	0.0518847	0.000406	0.00840219
0.000408	-0.0743756	0.000408	0.0621917	0.000408	0.00743591
0.00041	-0.0798512	0.00041	0.0692777	0.00041	0.00582545
0.000412	-0.0843605	0.000412	0.0750754	0.000412	0.00421499
0.000414	-0.0882256	0.000414	0.0750754	0.000414	0.00292662
0.000416	-0.0846826	0.000416	0.0741091	0.000416	0.000994059
0.000418	-0.0772744	0.000418	0.0689556	0.000418	-0.000294312
0.00042	-0.0698663	0.00042	0.0618696	0.00042	-0.00222687
0.000422	-0.0592373	0.000422	0.0522068	0.000422	-0.00319315
0.000424	-0.0447431	0.000424	0.0418998	0.000424	-0.00480361
0.000426	-0.0286385	0.000426	0.0293382	0.000426	-0.00609198
0.000428	-0.0170431	0.000428	0.0154882	0.000428	-0.00673617
0.00043	-0.000938497	0.00043	0.00292662	0.00043	-0.00834663
0.000432	0.0151661	0.000432	-0.0118896	0.000432	-0.00738035
0.000434	0.0280498	0.000434	-0.0231629	0.000434	-0.00802454
0.000436	0.0386789	0.000436	-0.0354024	0.000436	-0.00770244
0.000438	0.0499522	0.000438	-0.0440989	0.000438	-0.00673617
0.00044	0.059937	0.00044	-0.0521512	0.00044	-0.00641407
0.000442	0.0628359	0.000442	-0.0563384	0.000442	-0.00544779
0.000444	0.0647684	0.000444	-0.0595594	0.000444	-0.00415942
0.000446	0.0660568	0.000446	-0.0598814	0.000446	-0.00319315
0.000448	0.063158	0.000448	-0.0576268	0.000448	-0.00158268
0.00045	0.0570382	0.00045	-0.0531175	0.00045	-0.000294312
0.000452	0.0496301	0.000452	-0.0476419	0.000452	0.000349874
0.000454	0.0431882	0.000454	-0.0399117	0.000454	0.00163824
0.000456	0.0315929	0.000456	-0.0312152	0.000456	0.00292662
0.000458	0.0187092	0.000458	-0.0212303	0.000458	0.00389289
0.00046	0.00904638	0.00046	-0.0109234	0.00046	0.00518126
0.000462	-0.00254896	0.000462	2.78E-05	0.000462	0.00485917
0.000464	-0.0154327	0.000464	0.0100127	0.000464	0.00421499
