Time	Noise			
0	2.2373			
2.00E-06	2.50013			
4.00E-06	2.49626			
6.00E-06	2.49658			
8.00E-06	2.50077			
1.00E-05	2.5027			
1.20E-05	2.50206			
1.40E-05	2.5027			
1.60E-05	2.50528			
1.80E-05	2.50464			
2.00E-05	2.50238			
2.20E-05	2.50625			
2.40E-05	2.50593			
2.60E-05	2.50657			
2.80E-05	2.5056			
3.00E-05	2.50689			
3.20E-05	2.50496			
3.40E-05	2.5056			
3.60E-05	2.50721			
3.80E-05	2.50625			
4.00E-05	2.50593			
4.20E-05	2.50721			
4.40E-05	2.50754			
4.60E-05	2.50818			
4.80E-05	2.50303			
5.00E-05	2.50593			
5.20E-05	2.50754			
5.40E-05	2.50689			
5.60E-05	2.5085			
5.80E-05	2.50689			
6.00E-05	2.50947			
6.20E-05	2.50593			
6.40E-05	2.5056			
6.60E-05	2.50818			
6.80E-05	2.50528			
7.00E-05	2.50721			
7.20E-05	2.50657			
7.40E-05	2.50979			
7.60E-05	2.50754			
7.80E-05	2.50528			
8.00E-05	2.50882			
8.20E-05	2.50786			
8.40E-05	2.50818			
8.60E-05	2.50915			
8.80E-05	2.50721			
9.00E-05	2.50882			
9.20E-05	2.50754			
9.40E-05	2.50721			
9.60E-05	2.50689			
9.80E-05	2.50593			
1.00E-04	2.50882			
0.000102	2.5085			
0.000104	2.50786			
0.000106	2.5085			
0.000108	2.50593			
0.00011	2.50689			
0.000112	2.50721			
0.000114	2.50689			
0.000116	2.50657			
0.000118	2.50818			
0.00012	2.51269			
0.000122	2.50754			
0.000124	2.50721			
0.000126	2.50818			
0.000128	2.50786			
0.00013	2.50882			
0.000132	2.51011			
0.000134	2.50786			
0.000136	2.50818			
0.000138	2.50915			
0.00014	2.50786			
0.000142	2.50689			
0.000144	2.5085			
0.000146	2.50882			
0.000148	2.50818			
0.00015	2.50625			
0.000152	2.50786			
0.000154	2.50979			
0.000156	2.50786			
0.000158	2.50657			
0.00016	2.50689			
0.000162	2.50689			
0.000164	2.50721			
0.000166	2.50754			
0.000168	2.5085			
0.00017	2.51011			
0.000172	2.50721			
0.000174	2.50882			
0.000176	2.5085			
0.000178	2.50721			
0.00018	2.50721			
0.000182	2.50882			
0.000184	2.5085			
0.000186	2.50786			
0.000188	2.50786			
0.00019	2.50786			
0.000192	2.50689			
0.000194	2.50979			
0.000196	2.50754			
0.000198	2.50882			
0.0002	2.5085			
0.000202	2.50754			
0.000204	2.50915			
0.000206	2.50754			
0.000208	2.5085			
0.00021	2.50689			
0.000212	2.50979			
0.000214	2.50754			
0.000216	2.5085			
0.000218	2.50818			
0.00022	2.50979			
0.000222	2.5085			
0.000224	2.50689			
0.000226	2.50915			
0.000228	2.50786			
0.00023	2.50882			
0.000232	2.5085			
0.000234	2.51043			
0.000236	2.50625			
0.000238	2.5085			
0.00024	2.50721			
0.000242	2.50786			
0.000244	2.5085			
0.000246	2.50979			
0.000248	2.50657			
0.00025	2.50818			
0.000252	2.50786			
0.000254	2.50786			
0.000256	2.50915			
