Time - V_S	Amplitude - V_S	Time - V_C	Amplitude - V_C	Time - V_R	Amplitude - V_R
0.000156	-0.885404	0.000156	0.776272	0.000156	0.0570382
0.000158	-0.887336	0.000158	0.787868	0.000158	0.0428661
0.00016	-0.857704	0.00016	0.767254	0.00016	0.0245068
0.000162	-0.80166	0.000162	0.719906	0.000162	0.00840219
0.000164	-0.715339	0.000164	0.6513	0.000164	-0.00448152
0.000166	-0.605506	0.000166	0.55596	0.000166	-0.0212303
0.000168	-0.481822	0.000168	0.450314	0.000168	-0.0354024
0.00017	-0.344933	0.00017	0.330173	0.00017	-0.0469977
0.000172	-0.200636	0.000172	0.20359	0.000172	-0.0560163
0.000174	-0.0524733	0.000174	0.0744312	0.000174	-0.0640687
0.000176	0.0886033	0.000176	-0.0537617	0.000176	-0.0689
0.000178	0.222916	0.000178	-0.175513	0.000178	-0.0708326
0.00018	0.347566	0.00018	-0.285024	0.00018	-0.0714768
0.000182	0.451602	0.000182	-0.38294	0.000182	-0.0682559
0.000184	0.534702	0.000184	-0.460564	0.000184	-0.0634245
0.000186	0.596544	0.000186	-0.520151	0.000186	-0.0566605
0.000188	0.636806	0.000188	-0.557514	0.000188	-0.0466757
0.00019	0.650012	0.00019	-0.575551	0.00019	-0.0370129
0.000192	0.63745	0.000192	-0.571364	0.000192	-0.0257396
0.000194	0.605885	0.000194	-0.544953	0.000194	-0.0135001
0.000196	0.550485	0.000196	-0.499538	0.000196	-0.00158268
0.000198	0.476081	0.000198	-0.438018	0.000198	0.0106568
0.0002	0.386539	0.0002	-0.36297	0.0002	0.021608
0.000202	0.289589	0.000202	-0.276328	0.000202	0.0296603
0.000204	0.183299	0.000204	-0.182921	0.000204	0.0383568
0.000206	0.0734649	0.000206	-0.0885477	0.000206	0.0444766
0.000208	-0.0331478	0.000208	0.00775801	0.000208	0.0483417
0.00021	-0.133641	0.00021	0.100521	0.00021	0.0505963
0.000212	-0.228658	0.000212	0.184909	0.000212	0.0515626
0.000214	-0.313046	0.000214	0.259957	0.000214	0.0496301
0.000216	-0.378109	0.000216	0.323731	0.000216	0.0470533
0.000218	-0.428355	0.000218	0.371723	0.000218	0.0418998
0.00022	-0.463463	0.00022	0.402644	0.00022	0.0341696
0.000222	-0.477635	0.000222	0.420037	0.000222	0.0280498
0.000224	-0.47377	0.000224	0.421003	0.000224	0.0193533
0.000226	-0.451224	0.000226	0.403288	0.000226	0.0100127
0.000228	-0.416116	0.000228	0.373656	0.000228	0.00163824
0.00023	-0.362004	0.00023	0.331139	0.00023	-0.00738035
0.000232	-0.297908	0.000232	0.275739	0.000232	-0.0157548
0.000234	-0.226403	0.000234	0.212931	0.000234	-0.023485
0.000236	-0.148457	0.000236	0.14497	0.000236	-0.0292827
0.000238	-0.065357	0.000238	0.0731428	0.000238	-0.0344361
0.00024	0.0154882	0.00024	0.00131615	0.00024	-0.0383012
0.000242	0.0898917	0.000242	-0.0679338	0.000242	-0.0389454
0.000244	0.161718	0.000244	-0.132352	0.000244	-0.0402338
0.000246	0.226459	0.000246	-0.189041	0.000246	-0.0386233
0.000248	0.276706	0.000248	-0.237354	0.000248	-0.0363687
0.00025	0.315679	0.00025	-0.275361	0.00025	-0.0331478
0.000252	0.34209	0.000252	-0.300485	0.000252	-0.0279943
0.000254	0.356263	0.000254	-0.31369	0.000254	-0.0225187
0.000256	0.352075	0.000256	-0.314657	0.000256	-0.0163989
0.000258	0.336293	0.000258	-0.303705	0.000258	-0.009635
0.00026	0.310847	0.00026	-0.282125	0.00026	-0.00287105
0.000262	0.271874	0.000262	-0.249272	0.000262	0.00421499
0.000264	0.222272	0.000264	-0.208366	0.000264	0.0100127
0.000266	0.168804	0.000266	-0.161663	0.000266	0.0164545
0.000268	0.112116	0.000268	-0.110128	0.000268	0.0206417
0.00027	0.0502742	0.00027	-0.0569826	0.00027	0.0238626
0.000272	-0.0118896	0.000272	-0.00254896	0.000272	0.0274057
0.000274	-0.0676117	0.000274	0.0496301	0.000274	0.0280498
0.000276	-0.120757	0.000276	0.0976219	0.000276	0.028694
0.000278	-0.169715	0.000278	0.140782	0.000278	0.0270836
0.00028	-0.207722	0.00028	0.176535	0.00028	0.025151
0.000282	-0.235744	0.000282	0.20359	0.000282	0.0228964
0.000284	-0.255069	0.000284	0.222594	0.000284	0.0193533
0.000286	-0.265699	0.000286	0.23129	0.000286	0.0151661
0.000288	-0.262478	0.000288	0.232257	0.000288	0.00969056
0.00029	-0.249272	0.00029	0.223882	0.00029	0.00518126
0.000292	-0.229624	0.000292	0.206167	0.000292	-0.000294312
0.000294	-0.200314	0.000294	0.181366	0.000294	-0.00448152
0.000296	-0.162629	0.000296	0.151089	0.000296	-0.00995709
0.000298	-0.121401	0.000298	0.115337	0.000298	-0.0141443
0.0003	-0.0785628	0.0003	0.0763638	0.0003	-0.0170431
0.000302	-0.0325036	0.000302	0.0367463	0.000302	-0.019942
0.000304	0.0141999	0.000304	-0.00448152	0.000304	-0.0215524
0.000306	0.0567161	0.000306	-0.0431326	0.000306	-0.0221966
0.000308	0.0953672	0.000308	-0.079207	0.000308	-0.0225187
0.00031	0.13112	0.00031	-0.111094	0.00031	-0.0228408
0.000312	0.160108	0.000312	-0.136862	0.000312	-0.019942
0.000314	0.179433	0.000314	-0.157798	0.000314	-0.0186536
0.000316	0.192639	0.000316	-0.170037	0.000316	-0.0151106
0.000318	0.200047	0.000318	-0.176479	0.000318	-0.0125338
0.00032	0.196826	0.00032	-0.176479	0.00032	-0.00802454
0.000322	0.185231	0.000322	-0.16746	0.000322	-0.00448152
0.000324	0.167838	0.000324	-0.153932	0.000324	-0.000294312
0.000326	0.146902	0.000326	-0.134929	0.000326	0.00324871
0.000328	0.117592	0.000328	-0.111094	0.000328	0.00646963
0.00033	0.0857044	0.00033	-0.0837163	0.00033	0.0100127
0.000332	0.052851	0.000332	-0.054728	0.000332	0.0125894
0.000334	0.0187092	0.000334	-0.0238071	0.000334	0.014522
0.000336	-0.0163989	0.000336	0.00711382	0.000336	0.0151661
0.000338	-0.0502187	0.000338	0.0361022	0.000338	0.0154882
0.00034	-0.075664	0.00034	0.0625138	0.00034	0.0161324
0.000342	-0.102398	0.000342	0.0857044	0.000342	0.0141999
